20217905,-1,-1,-1,-1,-1
20226869,-1,-1,-1,-1,-1
20228591,-1,-1,-1,-1,-1
20228589,-1,-1,-1,-1,-1
20228586,-1,-1,-1,-1,-1
20228462,-1,-1,-1,-1,-1
20228300,-1,-1,-1,-1,-1
20228532,-1,-1,-1,-1,-1
20228203,-1,-1,-1,-1,-1
20209185,0.0,0.0,0.5,0.5,0.0
20205106,-1,-1,-1,-1,-1
20228276,-1,-1,-1,-1,-1
20211565,-1,-1,-1,-1,-1
20228429,-1,-1,-1,-1,-1
20228347,-1,-1,-1,-1,-1
20228439,-1,-1,-1,-1,-1
20228304,-1,-1,-1,-1,-1
20228437,0.0,0.8,0.0,0.2,0.0
20227225,0.1,0.2,0.4,0.1,0.2
20211562,-1,-1,-1,-1,-1
20228565,-1,-1,-1,-1,-1
20212851,-1,-1,-1,-1,-1
20211031,-1,-1,-1,-1,-1
20217161,-1,-1,-1,-1,-1
20228573,-1,-1,-1,-1,-1
20225857,-1,-1,-1,-1,-1
20228410,-1,-1,-1,-1,-1
20227151,-1,-1,-1,-1,-1
20227553,-1,-1,-1,-1,-1
20224758,-1,-1,-1,-1,-1
20224462,-1,-1,-1,-1,-1
20223609,-1,-1,-1,-1,-1
20227525,-1,-1,-1,-1,-1
20224442,-1,-1,-1,-1,-1
20223517,-1,-1,-1,-1,-1
20219997,-1,-1,-1,-1,-1
20227628,-1,-1,-1,-1,-1
20218593,-1,-1,-1,-1,-1
20224105,-1,-1,-1,-1,-1
20227555,-1,-1,-1,-1,-1
20228572,-1,-1,-1,-1,-1
20212353,-1,-1,-1,-1,-1
20212378,-1,-1,-1,-1,-1
20228571,-1,-1,-1,-1,-1
20227280,-1,-1,-1,-1,-1
20227527,-1,-1,-1,-1,-1
20216580,-1,-1,-1,-1,-1
20227550,-1,-1,-1,-1,-1
20228297,-1,-1,-1,-1,-1
20224252,-1,-1,-1,-1,-1
20228561,-1,-1,-1,-1,-1
20227924,-1,-1,-1,-1,-1
20226118,-1,-1,-1,-1,-1
20227891,-1,-1,-1,-1,-1
20212393,-1,-1,-1,-1,-1
20212430,-1,-1,-1,-1,-1
20228560,-1,-1,-1,-1,-1
20228535,-1,-1,-1,-1,-1
20224475,-1,-1,-1,-1,-1
20227650,-1,-1,-1,-1,-1
20227654,-1,-1,-1,-1,-1
20228309,-1,-1,-1,-1,-1
20225825,-1,-1,-1,-1,-1
20227676,-1,-1,-1,-1,-1
20228210,-1,-1,-1,-1,-1
20227677,-1,-1,-1,-1,-1
20227521,-1,-1,-1,-1,-1
20228557,-1,-1,-1,-1,-1
20227528,-1,-1,-1,-1,-1
20228556,0.04,0.47000000000000003,0.25,0.19,0.06
20204541,-1,-1,-1,-1,-1
20227397,-1,-1,-1,-1,-1
20226739,0.01,0.25,0.43,0.18,0.13
20223819,-1,-1,-1,-1,-1
20226771,0.0,0.18,0.41000000000000003,0.36,0.05
20227681,-1,-1,-1,-1,-1
20226820,-1,-1,-1,-1,-1
20227508,0.05,0.26,0.53,0.05,0.11
20198429,0.02,0.3,0.39,0.2,0.09
20228277,-1,-1,-1,-1,-1
20228555,-1,-1,-1,-1,-1
20225968,-1,-1,-1,-1,-1
20225061,-1,-1,-1,-1,-1
20228254,-1,-1,-1,-1,-1
20227754,-1,-1,-1,-1,-1
20217126,0.0,0.33,0.67,0.0,0.0
20227784,0.02,0.21,0.41000000000000003,0.28,0.09
20228357,0.0,0.5,0.5,0.0,0.0
20211546,0.0,0.29,0.29,0.14,0.29
20228554,-1,-1,-1,-1,-1
20228548,0.03,0.47000000000000003,0.34,0.12,0.04
20228547,0.02,0.49,0.29,0.14,0.07
20228553,-1,-1,-1,-1,-1
20228552,0.0,0.29,0.42,0.19,0.1
20228298,0.06,0.58,0.2,0.13,0.03
20228546,0.01,0.37,0.46,0.14,0.02
20225409,-1,-1,-1,-1,-1
